Date,Zero,Channel,Movement,Depth
13/01/2018,24.9,31,22.75,-2.15
07/07/2018,24.8,1,22.55,-2.25
07/07/2018,24.8,3,22.15,-2.65
07/07/2018,24.8,4,22.45,-2.35
07/07/2018,24.8,5,22.05,-2.75
07/07/2018,24.8,6,21.7,-3.1
07/07/2018,24.8,7,22.7,-2.1
07/07/2018,24.8,8,22.15,-2.65
07/07/2018,24.8,9,22.45,-2.35
07/07/2018,24.8,10,22,-2.8
07/07/2018,24.8,11,22.35,-2.45
07/07/2018,24.8,12,22.4,-2.4
07/07/2018,24.8,13,22.25,-2.55
07/07/2018,24.8,14,22.65,-2.15
07/07/2018,24.8,15,22.1,-2.7
07/07/2018,24.8,16,22,-2.8
07/07/2018,24.8,17,21.8,-3
07/07/2018,24.8,18,22.2,-2.6
07/07/2018,24.8,19,21.7,-3.1
07/07/2018,24.8,20,21.5,-3.3
07/07/2018,24.8,21,21.8,-3
07/07/2018,24.8,22,22.2,-2.6
07/07/2018,24.8,23,21.6,-3.2
07/07/2018,24.8,24,22.2,-2.6
07/07/2018,24.8,25,21,-3.8
07/07/2018,24.8,26,22.95,-1.85
07/07/2018,24.8,27,21.85,-2.95
07/07/2018,24.8,28,22.9,-1.9
07/07/2018,24.8,29,22.2,-2.6
07/07/2018,24.8,30,22.6,-2.2
07/07/2018,24.8,31,22.55,-2.25
15/09/2018,24.4,6,21.25,-3.15
15/09/2018,24.4,8,21.7,-2.7
15/09/2018,24.4,10,21.55,-2.85
15/09/2018,24.4,13,21.8,-2.6
15/09/2018,24.4,16,21.55,-2.85
15/09/2018,24.4,21,21.35,-3.05
15/09/2018,24.4,25,20.55,-3.85
15/09/2018,24.4,26,22.5,-1.9
15/09/2018,24.4,27,21.4,-3
